Kode,Tekst
DC452,Malignt mesoteliom i perikardiet
DC457,Malignt mesoteliom med anden lokalisation
DC459,Malignt mesoteliom UNS
DC46,Kaposis sarkom
DC460,Kaposis sarkom i huden
DC461,Kaposis sarkom i bindevæv
DC462,Kaposis sarkom i ganen
DC463,Kaposis sarkom i lymfeknuder
DC467,Kaposis sarkom med anden lokalisation
DC468,Kaposis sarkom i multiple lokalisationer
DC469,Kaposis sarkom UNS
DC47,Kræft i perifere nerver og autonome nervesystem
DC470,"Kræft i perifer nerve eller autonome nervesystem i hoved, ansigt eller hals"
DC470A,Kræft i perifer nerve i hovedet
DC470B,Kræft i perifer nerve i halsen
DC470C,Kræft i perifer nerve i ansigtet
DC470D,Kræft i autonome nervesystem i hovedet
DC470E,Kræft i autonome nervesystem i halsen
DC470F,Kræft i autonome nervesystem i ansigtet
DC471,Kræft i perifer nerve eller autonome nervesystem i overekstremitet
DC471A,Kræft i perifer nerve i skulderregion
DC471B,Kræft i perifer nerve i arm eller hånd
DC471C,Kræft i autonome nervesystem i skulderregion
DC471D,Kræft i autonome nervesystem i arm eller hånd
DC472,Kræft i perifer nerve eller autonome nervesystem i underekstremitet
DC472A,Kræft i perifer nerve i hofteregion
DC472B,Kræft i perifer nerve i ben eller fod
DC472C,Kræft i autonome nervesystem i hofteregion
DC472D,Kræft i autonome nervesystem i ben eller fod
DC473,Kræft i perifer nerve eller autonome nervesystem i thorax
DC473A,Kræft i perifer nerve i thorax
DC473B,Kræft i autonome nervesystem i thorax
DC474,Kræft i perifer nerve eller autonome nervesystem i abdomen
DC474A,Kræft i perifer nerve i abdomen
DC474B,Kræft i autonome nervesystem i abdomen
DC475,Kræft i perifer nerve eller autonome nervesystem i bækkenet
DC475A,Kræft i perifer nerve i bækkenet
DC475B,Kræft i autonome nervesystem i bækkenet
DC476,Kræft i perifer nerve eller autonome nervesystem i truncus UNS
DC476A,Kræft i perifer nerve i truncus
DC476B,Kræft i autonome nervesystem i truncus
DC478,Kræft i perifere nerver eller autonome nervesystem overgribende flere lokalisationer
DC478A,Kræft i perifere nerver overgribende flere lokalisationer
DC478B,Kræft i autonome nervesystem overgribende flere lokalisationer
DC479,Kræft i perifer nerve eller autonome nervesystem UNS
DC479A,Kræft i perifer nerve UNS
DC479B,Kræft i autonome nervesystem UNS
DC48,Kræft i bughinden og i bughulens bagvæg
DC480,Kræft i retroperitoneum
DC481,Kræft i specificeret del af peritoneum
DC481A,Kræft i mesenteriet
DC481B,Kræft i mesocolon
DC481C,Kræft i oment
DC482,Kræft i peritoneum UNS
DC488,Kræft i bughinden og bughulens bagvæg overgribende flere lokalisationer
DC49,Kræft i andet bindevæv og bløddelsvæv
DC490,"Kræft i bindevæv og bløddelsvæv i hoved, ansigt eller hals"
DC490A,Kræft i bindevæv og bløddelsvæv i hovedet
DC490B,Kræft i bindevæv og bløddelsvæv i halsen
DC490C,Kræft i bindevæv og bløddelsvæv i ansigtet
DC491,Kræft i bindevæv og bløddelsvæv i overekstremitet
DC491A,Kræft i bindevæv og bløddelsvæv i skulderregion
DC491B,Kræft i bindevæv og bløddelsvæv i arm
DC492,Kræft i bindevæv og bløddelsvæv i underekstremitet
DC492A,Kræft i bindevæv og bløddelsvæv i ben
DC492B,Kræft i bindevæv og bløddelsvæv i hofteregion
DC493,Kræft i bindevæv og bløddelsvæv i thorax
DC493A,Kræft i bindevæv og bløddelsvæv i armhule
DC493B,Kræft i bindevæv og bløddelsvæv i mellemgulvet
DC494,Kræft i bindevæv og bløddelsvæv i abdomen
DC495,Kræft i bindevæv og bløddelsvæv i bækkenet
DC495A,Kræft i bindevæv og bløddelsvæv i perineum
DC496,Kræft i bindevæv og bløddelsvæv i truncus UNS
DC498,Kræft i bindevæv og bløddelsvæv overgribende flere lokalisationer
DC499,Kræft i bindevæv og bløddelsvæv UNS
,Brystkræft [DC50-DC50]
DC50,Brystkræft
DC500,Kræft i brystvorte eller areola mammae
DC500A,Kræft i areolae mammae
DC500B,Kræft i brystvorte
DC501,Brystkræft i den centrale del af mamma
DC502,Brystkræft i den øvre mediale kvadrant af mamma
DC503,Brystkræft i den nedre mediale kvadrant af mamma
DC504,Brystkræft i den øvre laterale kvadrant af mamma
DC505,Brystkræft i den nedre laterale kvadrant af mamma
DC506,Brystkræft i processus axillaris mammae
DC508,Brystkræft overgribende flere lokalisationer
DC509,Brystkræft UNS
,Kræft i kvindelige kønsorganer [DC51-DC58]
DC51,Kræft i ydre kvindelige kønsorganer
DC510,Kræft i stor kønslæbe
DC510A,Kræft i Bartholins kirtel
DC511,Kræft i lille kønslæbe
DC512,Kræft i klitoris
DC518,Kræft i ydre kvindelige kønsorganer overgribende flere lokalisationer
DC519,Kræft i ydre kvindelige kønsorganer UNS
DC52,Kræft i vagina
DC529,Vaginakræft
DC53,Kræft i livmoderhalsen
DC539,Livmoderhalskræft
DC54,Kræft i livmoderen
DC549,Livmoderkræft
DC55,Kræft i livmoderen uden nærmere specificeret lokalisation
DC559,Kræft i livmoderen uden nærmere specificeret lokalisation
DC56,Kræft i æggestok
DC569,Æggestokkræft
DC569A,Ekstragonadal germinalcelletumor (ovarie)
DC57,Kræft i andre og ikke specificerede kvindelige kønsorganer
DC570,Kræft i æggeleder
DC571,Kræft i ligamentum latum uteri
DC572,Kræft i ligamentum teres uteri
DC573,Kræft i parametriet
DC574,Kræft i adnexa uteri
DC577,Kræft i anden specificeret struktur i kvindeligt kønsorgan
DC578,Kræft i kvindelige kønsorganer overgribende flere lokalisationer
DC579,Kræft i kvindeligt kønsorgan UNS
DC58,Kræft i moderkagen
DC589,Kræft i moderkagen UNS
DC589A,Choriokarcinom i placenta
DC589B,Chorionepiteliom i placenta
,Kræft i mandlige kønsorganer [DC60-DC63]
DC60,Kræft i penis
DC600,Kræft i forhuden
DC601,Kræft i glans penis
DC602,Kræft i corpus penis
DC608,Kræft i penis overgribende flere lokalisationer
DC609,Kræft i penis UNS
DC61,Kræft i blærehalskirtlen
DC619,Prostatakræft
DC619Y,PSA-recidiv efter tidligere intenderet kurativ behandling
DC619Z,Kastrationsresistent prostatakræft (CRPC)
DC62,Testikelkræft
DC620,Kræft i ikke-nedstegen testikel
DC621,Kræft i testikel i scrotum
DC629,Testikelkræft UNS
DC629A,Ekstragonadal germinalcelletumor (testis)
DC63,Kræft i andre og ikke specificerede mandlige kønsorganer
DC630,Kræft i bitestikel
DC631,Kræft i sædstreng
DC632,Kræft i scrotum
DC637,Kræft i andet mandligt kønsorgan
DC638,Kræft i mandlige kønsorganer overgribende flere lokalisationer
DC639,Kræft i mandligt kønsorgan UNS
,Kræft i nyre og urinveje [DC64-DC68]
DC64,Nyrekræft
DC649,Nyrekræft
DC65,Kræft i nyrebækken
DC659,Kræft i nyrebækken
DC66,Kræft i urinleder
DC669,Kræft i urinleder
DC67,Kræft i urinblæren
DC677,Kræft i urachus
DC679,Kræft i urinblæren UNS
DC68,Kræft i andre og ikke specificerede urinorganer
DC680,Kræft i urinrøret
DC681,Kræft i glandula paraurethralis s. bulbourethralis
DC688,Kræft i urinorganer overgribende flere lokalisationer
DC689,Kræft i urinorgan UNS
,"Kræft i øje, hjerne og andre dele af centralnervesystem [DC69-DC72]"
DC69,Kræft i øje og omgivende strukturer
DC690,Kræft i konjunktiva
DC691,Kræft i cornea
DC692,Kræft i retina
DC692A,Retinoblastom
DC693,Kræft i choroidea
DC694,Kræft i corpus ciliare
DC695,Kræft i tårekirtel eller tårekanal
DC695A,Kræft i tårekanal
DC695B,Kræft i tårekirtel
DC696,Kræft i øjenhule
DC698,Kræft i øje overgribende flere lokalisationer
DC699,Kræft i øje UNS
DC699A,Kræft i øjeæble
DC70,Kræft i hjernehinde og rygmarvshinde
DC700,Kræft i hjernehinde
DC701,Kræft i rygmarvshinde
DC709,Kræft i hjernehinde eller rygmarvshinde UNS
DC71,Kræft i hjernen
DC710,Kræft i storhjernen
DC710A,Kræft i corpus callosum
DC710B,Supratentoriel kræft i storhjernen UNS
DC711,Kræft i hjernens pandelap
DC712,Kræft i hjernens tindingelap
DC713,Kræft i hjernens isselap
DC714,Kræft i hjernens nakkelap
DC715,Intraventrikulær kræft i hjernen
DC716,Kræft i lillehjernen
DC717,Kræft i hjernestammen eller 4. ventrikel
DC717A,Kræft i 4. ventrikel
DC717B,Kræft i hjernestammen
DC717C,Infratentoriel kræft i hjernen UNS
DC718,Kræft i hjernen overgribende flere lokalisationer
DC719,Kræft i hjernen UNS
DC72,"Kræft i rygmarv, kranienerver og andre dele af centralnervesystemet"
DC720,Kræft i rygmarven
DC721,Kræft i cauda equina
DC722,Kræft i lugtenerve
DC722A,Kræft i bulbus olfactorius
DC723,Kræft i synsnerve
DC724,Kræft i hørenerve
DC725,Kræft i anden hjernenerve eller hjernenerve UNS
DC728,Kræft i centralnervesystemet overgribende flere lokalisationer
DC729,Kræft i centralnervesystemet UNS
,Kræft i skjoldbruskkirtel og andre endokrine kirtler [DC73-DC75]
DC73,Kræft i skjoldbruskkirtlen
DC739,Kræft i skjoldbruskkirtlen
DC74,Kræft i binyre
DC740,Kræft i binyrebark
DC741,Kræft i binyremarv
DC749,Kræft i binyre UNS
DC75,Kræft i andre endokrine kirtler og lignende strukturer
DC750,Kræft i biskjoldbruskkirtel
DC751,Kræft i hypofysen
DC752,Kræft i ductus craniopharyngeus
DC753,Kræft i corpus pineale
DC754,Kræft i glomus caroticum
DC755,Kræft i corpus para-aorticus eller andet paraganglion
DC755A,Kræft i corpus para-aorticus
DC755B,Kræft i andet paraganglion
DC758,Pluriglandulær kræft UNS
DC759,Kræft i endokrin kirtel UNS
,"Kræft med dårligt specificerede, sekundære og ikke specificerede lokalisationer [DC76-DC80]"
DC76,Kræft med andre og dårligt specificerede lokalisationer
DC760,"Kræft i hoved, ansigt eller hals uden nærmere specificeret lokalisation"
DC760A,Kræft i hovedet uden nærmere specificeret lokalisation
DC760B,Kræft i halsen uden nærmere specificeret lokalisation
DC760C,Kræft i ansigtet uden nærmere specificeret lokalisation
DC761,Kræft i thorax uden nærmere specificeret lokalisation
DC762,Kræft i abdomen uden nærmere specificeret lokalisation
DC763,Kræft i bækkenet uden nærmere specificeret lokalisation
DC764,Kræft i overekstremitet uden nærmere specificeret lokalisation
DC765,Kræft i underekstremitet uden nærmere specificeret lokalisation
DC767,Kræft med anden dårligt specificeret lokalisation
DC768,Kræft med anden eller dårligt specificeret lokalisation overgribende flere lokalisationer
DC77,Metastaser og kræft UNS i lymfeknuder
DC770,"Metastase eller kræft UNS i lymfeknude i hoved, ansigt eller hals"
DC770A,Metastase i lymfeknude i hovedet
DC770A1,Regional lymfeknudemetastase i hovedet
DC770A2,Fjernmetastase i lymfeknude i hovedet
DC770B,Kræft UNS i lymfeknude i hovedet
DC770C,Metastase i lymfeknude i halsen
DC770C1,Regional lymfeknudemetastase i halsen
DC770C2,Fjernmetastase i lymfeknude i halsen
DC770D,Kræft UNS i lymfeknude i halsen
DC770E,Metastase i lymfeknude i ansigtet
DC770E1,Regional lymfeknudemetastase i ansigtet
DC770E2,Fjernmetastase i lymfeknude i ansigtet
DC770F,Kræft UNS i lymfeknude i ansigtet
DC770G,Metastase i supraclaviculær lymfeknude
DC770G1,Regional supraclaviculær lymfeknudemetastase
DC770G2,Fjernmetastase i supraclaviculær lymfeknude
DC770H,Kræft UNS i supraclaviculær lymfeknude
DC771,Metastase eller kræft UNS i intratorakal lymfeknude
DC771A,Metastase i intratorakal lymfeknude
DC771A1,Regional intratorakal lymfeknudemetastase
DC771A2,Fjernmetastase i intratorakal lymfeknude
DC771B,Kræft UNS i intratorakal lymfeknude
DC772,Metastase eller kræft UNS i intraabdominal lymfeknude
DC772A,Metastase i intraabdominal lymfeknude
DC772A1,Regional intraabdominal lymfeknudemetastase
DC772A2,Fjernmetastase i intraabdominal lymfeknude
DC772B,Kræft UNS i intraabdominal lymfeknude
DC773,Metastase eller kræft UNS i lymfeknude i aksil eller overekstremiteten
DC773A,Metastase i lymfeknude i aksil
DC773A1,Regional lymfeknudemetastase i aksil
DC773A2,Fjernmetastase i lymfeknude i aksil
DC773B,Kræft UNS i lymfeknude i aksil
DC773C,Metastase i lymfeknude i overekstremitet
DC773C1,Regional lymfeknudemetastase i overekstremitet
DC773C2,Fjernmetastase i lymfeknude i overekstremitet
DC773D,Kræft UNS i lymfeknude i overekstremitet
DC773E,Metastase i pektoral lymfeknude
DC773E1,Regional pektoral lymfeknudemetastase
DC773E2,Fjernmetastase i pektoral lymfeknude
DC773F,Kræft UNS i pektoral lymfeknude
DC774,Metastase eller kræft UNS i lymfeknude i lyske eller underekstremitet
DC774A,Metastase i lymfeknude i underekstremitet
DC774A1,Regional lymfeknudemetastase i underekstremitet
DC774A2,Fjernmetastase i lymfeknude i underekstremitet
DC774B,Kræft UNS i lymfeknude i underekstremitet
DC774C,Metastase i lymfeknude i lyske
DC774C1,Regional lymfeknudemetastase i lyske
DC774C2,Fjernmetastase i lymfeknude i lyske
DC774D,Kræft UNS i lymfeknude i lyske
DC775,Metastase eller kræft UNS i intrapelvin lymfeknude
DC775A,Metastase i intrapelvin lymfeknude
DC775A1,Regional intrapelvin lymfeknudemetastase
DC775A2,Fjernmetastase i intrapelvin lymfeknude
DC775B,Kræft UNS i intrapelvin lymfeknude
DC778,Metastase eller kræft UNS i lymfeknuder i multiple lokalisationer
DC778A,Metastase i lymfeknuder i multiple lokalisationer
DC778A1,Multiple regionale lymfeknudemetastaser
DC778A2,Fjernmetastaser i lymfeknuder i multiple lokalisationer
DC778B,Kræft UNS i lymfeknuder i multiple lokalisationer
DC779,Metastase eller kræft UNS i lymfeknude UNS
DC779A,Metastase i lymfeknude UNS
DC779A1,Regional lymfeknudemetastase UNS
DC779A2,Fjernmetastase i lymfeknude UNS
DC779B,Kræft UNS i lymfeknude UNS
DC78,Metastaser i åndedrætsorganer og fordøjelsessystemet
DC780,Fjernmetastase i lunge
DC781,Fjernmetastase i mediastinum
DC782,Fjernmetastase i lungehinde
DC782A,Carcinomatosis pleurae
DC782B,Malign pleural effusion
DC783,Fjernmetastase med anden eller ikke specificeret lokalisation i åndedrætsorgan
DC784,Fjernmetastase i tyndtarmen
DC784A,Fjernmetastase i duodenum
DC785,Fjernmetastase i tyktarmen eller endetarmen
DC785A,Fjernmetastase i tyktarmen
DC785B,Fjernmetastase i endetarmen
DC786,Metastase i retroperitonale rum eller i peritoneum
DC786A,Malign ascites UNS
DC786B,Metastase i peritoneum
DC786C,Metastase i retroperitoneale rum
DC786D,Carcinomatosis peritonei
DC786E,Pseudomyxoma peritonei
DC787,Fjernmetastase i leveren
DC788,Fjernmetastase med anden eller ikke specificeret lokalisation i fordøjelsesorgan
DC79,Metastaser i andre specificerede lokalisationer
DC790,Fjernmetastase i nyre eller nyrebækken
DC790A,Fjernmetastase i nyrebækken
DC790B,Fjernmetastase i nyre
DC791,Fjernmetastase i andet urinorgan eller mandligt kønsorgan
DC791I,Fjernmetastase i urinblæren
DC791J,Fjernmetastase i prostata
DC791S,Fjernmetastase i penis
DC791T,Fjernmetastase i testikel
DC791U,Fjernmetastase i urinleder
DC791V,Fjernmetastase i urinrøret
DC792,Fjernmetastase i huden
DC793,Fjernmetastase i hjernen eller hjernehinder
DC793A,Fjernmetastase i hjernen
DC793B,Fjernmetastase i hjernehinde
DC793C,Fjernmetastase i rygmarvshinde
DC794,Fjernmetastase med anden eller ikke specificeret lokalisation i nervesystemet
DC795,Fjernmetastase i knogle eller knoglemarven
DC795A,Fjernmetastase i knoglemarven
DC795B,Fjernmetastase i knogle
DC795C,Fjernmetastase i ryghvirvel
DC795D,Fjernmetastase i ribben
DC795E,Fjernmetastase i kraniet
DC796,Fjernmetastase i æggestok
DC797,Fjernmetastase i binyre
DC798,Metastase UNS
DC798A,Carcinomatosis UNS
DC798C,Fjernmetastaser og regionale lymfeknudemetastaser UNS
DC798D,Fjernmetastase UNS
DC798E,In-transit metastase i hud
DC798F,Fjernmetastaser i multiple lokalisationer
DC798Z,Fjernmetastaser i anden specificeret lokalisation IKA
DC799,Sekundær kræftsygdom UNS
DC80,Ikke nærmere specificeret kræft (ukendt primærtumor)
DC800,Primær kræftsygdom uden kendt lokalisation
DC809,Kræftsygdom UNS
DC809A,Malign kakeksi
,Kræft i lymfatisk og bloddannende væv [DC81-DC96]
DC81,Hodgkin lymfomer
DC810,Nodulært lymfocytdomineret Hodgkin lymfom
DC811,Klassisk Hodgkin lymfom med nodulær sklerose
DC812,Klassisk Hodgkin lymfom med blandet cellularitet
DC813,Klassisk lymfocytfattigt Hodgkin lymfom
DC814,Klassisk lymfocytrigt Hodgkin lymfom
DC817,Andet klassisk Hodgkin lymfom
DC819,Hodgkin lymfom UNS
DC82,Follikulære lymfomer
DC820,"Follikulært lymfom, grad I"
DC821,"Follikulært lymfom, grad II"
DC822,"Follikulært lymfom, grad III"
DC825,Diffust follikelcenter lymfom
DC826,Kutant follikelcenter lymfom
DC827,Andet follikulært lymfom
DC829,Follikulært lymfom UNS
DC83,Ikke-follikulære lymfomer
DC830,Småcellet B-celle lymfom
DC830B,Lymfoplasmacytært lymfom
DC830C,Nodalt marginalzonelymfom
DC830D,Splenisk marginalzonelymfom
DC831,Mantle celle lymfom (MCL)
DC831A,Centrocytisk lymfom
DC831B,Malign lymfomatøs polypose
DC833,Diffust storcellet B-celle lymfom
DC833A,Anaplastisk diffust storcellet B-celle lymfom
DC833B,CD30-positivt diffust storcellet B-celle lymfom
DC833C,Centroblastært diffust storcellet B-celle lymfom
DC833D,Immunoblastært diffust storcellet B-celle lymfom
DC833E,Plasmablastært diffust storcellet B-celle lymfom
DC833F,T-cellerigt diffust storcellet B-celle lymfom
DC835,Lymfoblastært lymfom
DC835A,Lymfoblastært B-celle lymfom
DC835B,Lymfoblastært T-celle lymfom
DC835C,Lymfoblastært lymfom UNS
DC837,Burkitt lymfom
DC837A,Atypisk Burkitt lymfom
DC837B,Burkitt-lignende lymfom
DC838,Andet ikke-follikulært lymfom
DC838A,Primært effusionslymfom (af B-celle type)
DC838B,Intravaskulært storcellet B-celle lymfom
DC839,Ikke-follikulært (diffust) lymfom UNS
DC84,Modne NK/T-celle lymfomer
DC840,Mycosis fungoides
DC840A,Mycosis fungoides associeret med follikulær mucinose
DC840B,Pagetoid retikulose
DC840C,Granulomatøs slack skin (lymphoma malignum)
DC841,Sézarys sygdom
DC844,Perifert T-celle lymfom UNS
DC844F,Lymfoepitelioidt lymfom
DC844H,Modent T-celle lymfom UNS
DC845,Andet modent NK/T-celle lymfom
DC846,"Anaplastisk storcellet lymfom, ALK-positivt"
DC846A,"Anaplastisk storcellet lymfom, CD30-positivt"
DC847,"Anaplastisk storcellet lymfom, ALK-negativt"
DC848,Kutant T-celle lymfom UNS
DC849,Modent NK/T-celle lymfom UNS
DC85,Andre og ikke specificerede non-Hodgkin lymfomer
DC851,B-celle lymfom UNS
DC852,Mediastinalt (tymisk) storcellet B-celle lymfom
DC857,Andet non-Hodgkin lymfom
DC857B,Polymorf posttransplantations lymfoproliferativ sygdom (PTLD)
DC859,Lymfom (neoplasi) UNS
DC86,Andre NK/T-celle lymfomer
DC860,"Ekstranodalt NK/T-celle lymfom, nasal type"
DC861,Hepatosplenisk T-celle lymfom
DC862,Enteropati-type (intestinalt) T-celle lymfom
DC863,Subkutant panniculitis-lignende T-celle lymfom
DC864,Blastisk NK-celle lymfom
DC865,Angioimmunoblastært T-celle lymfom
DC866,Primært kutane CD30-positive T-celle proliferationer
DC866B,Primært kutant anaplastisk storcellet lymfom
DC866C,Primært kutant CD30-positivt storcellet lymfom
DC88,Maligne immunoproliferative sygdomme
DC880,Waldenströms makroglobulinæmi
DC882,Anden heavy chain disease
DC882A,Gamma heavy chain disease
DC882B,My heavy chain disease
DC883,Immunoproliferativ tyndtarmssygdom
DC883A,Alpha heavy chain disease
DC883B,Middelhavs lymfom
DC884,Ekstranodalt marginalzone B-celle lymfom
DC884A,Lymfom af mucosa-associeret lymfoidt væv (MALT-lymfom)
DC884B,Lymfom af hud-associeret lymfoidt væv (SALT-lymfom)
DC884C,Lymfom af bronkie-associeret lymfoidt væv (BALT-lymfom)
DC887,Anden malign immunoproliferativ sygdom
DC889,Malign immunoproliferativ sygdom UNS
DC90,Maligne plasmacelle neoplasier
DC900,Myelomatose
DC901,Plasmacelle leukæmi
DC902,Solitært ikke-ossøst plasmacytom
DC903,Solitært ossøst plasmacytom
DC91,Lymfatiske leukæmier
DC910,Akut lymfoblastær leukæmi (ALL)
DC911,Kronisk lymfatisk leukæmi af B-celle type (B-CLL)
DC911A,Lymfoplasmacytær leukæmi
DC911B,Richter syndrom
DC913,Prolymfocyt leukæmi af B-celle type
DC914,Hårcelle leukæmi
DC915,Adult T-celle lymfom/leukæmi (HTLV-1-associeret)
DC915A,"Adult T-celle lymfom/leukæmi (HTLV-1-associeret), akut variant"
DC915B,"Adult T-celle lymfom/leukæmi (HTLV-1-associeret), kronisk variant"
DC915C,"Adult T-celle lymfom/leukæmi (HTLV-1-associeret), lymfomatoid variant"
DC915D,"Adult T-celle lymfom/leukæmi (HTLV-1-associeret), ""smouldering"" variant"
DC916,Prolymfocyt leukæmi af T-celle type
DC917,Anden lymfatisk leukæmi
DC917B,Large granular T-celle lymfocytær leukæmi
DC918,Moden B-celle leukæmi af Burkitt-type
DC919,Lymfatisk leukæmi UNS
DC92,Myeloide leukæmier
DC920,Akut myeloblastær leukæmi (AML)
DC920A,Akut myeloblastær leukæmi med minimal differentiering
DC920B,Akut myeloblastær leukæmi med modning
DC920C,"Akut myeloblastær leukæmi, AML1/ETO"
DC920D,"Akut myeloblastær leukæmi, AML M0"
DC920E,"Akut myeloblastær leukæmi, AML M1"
DC920F,"Akut myeloblastær leukæmi, AML M2"
DC920G,"Akut myeloblastær leukæmi, AML med t(8;21)"
DC920H,Akut myeloblastær leukæmi UNS (uden FAB-klassificering)
DC921,"Kronisk myeloid leukæmi (CML), BCR/ABL-positiv"
DC921A,Kronisk myeloid leukæmi med blastkrise
DC922,"Atypisk kronisk myeloid leukæmi, BCR/ABL-negativ"
DC923,Myeloidt sarkom
DC923A,Chloroma
DC923B,Granulocytært sarkom
DC924,"Akut myeloblastær leukæmi, AML M3"
DC924A,Akut myeloblastær leukæmi M3 med t(15;17) og varianter
DC925,"Akut myeloblastær leukæmi, AML M4"
DC925A,Akut myeloblastær leukæmi M4 Eo med inv(16) eller t(16;16)
DC926,Akut myeloblastær leukæmi med 11q23-abnormalitet
DC926A,Akut myeloblastær leukæmi med variation af MLL-gen
DC927,Anden myeloid leukæmi
DC927B,Kronisk neutrofil leukæmi
DC928,Akut myeloid leukæmi med multilinje dysplasi
DC929,Myeloid leukæmi UNS
DC93,Monocytære leukæmier
DC930,"Akut monoblastær leukæmi, AML M5"
DC930A,"Akut monoblastær, AML M5a"
DC930B,"Akut monoblastær, AML M5b"
DC931,"Kronisk myelomonocytær leukæmi, CMML"
DC931A,"Kronisk myelomonocytær leukæmi, CMML-1"
DC931B,"Kronisk myelomonocytær leukæmi, CMML-2"
DC931C,"Kronisk myelomonocytær, CMML med eosinofili"
DC933,Juvenil myelomonocytær leukæmi
DC937,Anden monocytær leukæmi
DC939,Monocytær leukæmi UNS
DC94,Andre leukæmier af specificerede celletyper
DC940,"Akut erytroid leukæmi, M6 (a)(b)"
DC940A,Erytroleukæmi UNS
DC942,"Akut megakaryoblastær leukæmi, M7"
DC943,Mastcelle leukæmi
DC944,Akut myelofibrose
DC946,Uklassificerbar myelodysplasi/myeloproliferativ sygdom
DC947,Anden leukæmi
DC947B,Aggressiv NK-celle leukæmi
DC947C,Akut basofil leukæmi
DC95,Leukæmier af ikke specificeret celletype
DC950,Akut leukæmi af ikke specificeret celletype
DC950C,Akut bilineær leukæmi
DC950D,Akut leukæmi af blandet linearitet
DC951,Kronisk leukæmi af ikke specificeret celletype
DC957,Anden leukæmi af ikke specificeret celletype
DC959,Leukæmi UNS
DC96,Andre og ikke specificerede maligne neoplasier fra lymfoidt og hæmatopoietisk væv
DC960,Multifokal og multisystemisk (dissemineret) Langerhans-celle histiocytosis
DC960A,"Histiocytosis X, multisystemisk"
DC962,Malign mastcelle tumor
DC962B,Mastcelle sarkom
DC964,Dendritcelle sarkom (accessoriske celler)
DC964A,Interdigiterende dendritcelle sarkom
DC964B,Langerhans-celle sarkom
DC964C,Follikulært dendritcelle sarkom
DC965,Multifokal og unisystemisk Langerhans-celle histiocytose
DC965A,Hand-Schüller-Christian sygdom
DC965B,"Histiocytosis X, multifokal"
DC966,Unifokal Langerhans-celle histiocytose
DC966A,Eosinofilt granulom
DC966B,"Histiocytosis X, unifokal"
DC966C,Histiocytosis X UNS
DC966D,Langerhans-celle histiocytose UNS
DC967,Anden malign neoplasi fra lymfoidt eller hæmatopoietisk væv
DC967A,Histiocytært sarkom
DC968,Malign histiocytose UNS
DC969,Malign neoplasi fra lymfoidt eller hæmatopoietisk væv UNS
,Lokalrecidiv [DC99-DC99]
DC99,Kliniske og parakliniske fund ved kræftsygdom
DC991,Lokalrecidiv UNS
DC991A,Lokalrecidiv i efterladt væv
DC991B,Lokalrecidiv i marginalzone
DC991C,Lokalrecidiv i hud
DC991D,Lokalrecidiv i slimhinde
DC991E,Lokalrecidiv i bindevæv
DC991Y,Lokalrecidiver i multiple lokalisationer
,Carcinoma in situ [DD00-DD09]
DD00,"Carcinoma in situ på læber, i mundhulen, spiserøret og mavesækken"
DD000,"Carcinoma in situ på læbe, i mundhulen eller svælget"
DD000A,Carcinoma in situ i mundhulen
DD000B,Carcinoma in situ på læbe
DD000C,Carcinoma in situ i svælget
DD001,Carcinoma in situ i spiserøret
DD002,Carcinoma in situ i mavesækken
DD01,Carcinoma in situ i andre og ikke specificerede fordøjelsesorganer
DD010,Carcinoma in situ i tyktarmen
DD012,Carcinoma in situ i endetarmen
DD013,Carcinoma in situ i endetarmsåbningen eller analkanalen
DD013A,Carcinoma in situ i endetarmsåbningen
DD013B,Carcinoma in situ i analkanalen
DD014,Carcinoma in situ i anden eller ikke specificeret del af tarmen
DD014A,Carcinoma in situ i tyndtarmen
DD015,"Carcinoma in situ i leveren, galdeblæren eller galdeveje"
DD015A,Carcinoma in situ ampullae Vateri
DD015B,Carcinoma in situ i leveren
DD015C,Carcinoma in situ i galdeblæren
DD015D,Carcinoma in situ i galdeveje
DD017,Carcinoma in situ i fordøjelsesorganer med anden lokalisation
DD017A,Carcinoma in situ i pancreas
DD019,Carcinoma in situ i fordøjelseskanalen UNS
DD02,Carcinoma in situ i mellemøre og åndedrætsorganer
DD020,Carcinoma in situ i strubehovedet
DD021,Carcinoma in situ i luftrøret
DD022,Carcinoma in situ i bronkie eller lunge
DD022A,Carcinoma in situ i bronkie
DD022B,Carcinoma in situ i lunge
DD023,Carcinoma in situ med anden lokalisation i åndedrætsorganer
DD023A,Carcinoma in situ i mellemøre
DD023B,Carcinoma in situ i næsehulen
DD023C,Carcinoma in situ i bihule
DD024,Carcinoma in situ i åndedrætsorgan UNS
DD03,Melanoma in situ
DD030,Melanoma in situ på læbe
DD031,Melanoma in situ på øjenlåg
DD031A,Melanoma in situ canthi oculi
DD032,Melanoma in situ på øre eller i ydre øregang
DD032A,Melanoma in situ på øre
DD032B,Melanoma in situ i ydre øregang
DD033,Melanoma in situ i ansigtet med anden eller ikke specificeret lokalisation
DD033A,Melanoma in situ på næsen
DD034,Melanoma in situ på skalpen eller halsen
DD034A,Melanoma in situ på skalpen
DD034B,Melanoma in situ på halsen
DD035,Melanoma in situ på kroppen
DD035A,Melanoma in situ (i hud) ved endetarmsåbningen
DD035B,Melanoma in situ på bryst
DD035C,Melanoma in situ i marginalzonen i endetarmsåbningen
DD035G,Melanoma in situ i vulva
DD036,Melanoma in situ på overekstremitet
